beta,n_star,G1,n_obs,W
7.430755144750248e-05,0.5812195374177782,1258.6031563602794,49.0,0.018633121795454396
0.0001178559274128425,0.5559000862750122,609.9469826921365,33.0,0.01601811039186847
0.0003721092586467862,0.5160259384076403,630.1513423305896,61.0,0.050689867527629884
0.0003615015148350756,0.5114974631965592,325.99119824993727,45.0,0.140860362813591
3.908541649879686e-05,0.5406655963873799,4390.025683609853,84.0,0.01276502719561763
5.1049074397210064e-05,0.6226662816512054,2708.8411021292472,25.0,0.016715652374834238
0.00023013002658659018,0.5754913783048475,87.951574576133,15.0,0.09653235288645973
0.0002727560972277224,0.5484562953893607,303.492504887368,29.0,0.05504952116294928
0.00019897370584572312,0.482425757977436,830.8980827908159,58.0,0.024916376761113152
0.0002811802931517305,0.5807475912365063,224.20104740375416,21.0,0.05235955666271904
5.8548685338773995e-05,0.5532391657694407,2216.3388292444506,55.0,0.012497715311759132
0.00019562647369292949,0.47555633343107856,755.5056609937682,57.0,0.037484772724893395
1.5864588976869096e-05,0.5765980235290045,9613.977877800806,67.0,0.002025851438938513
6.919794379785216e-05,0.6172098746862517,67.38439752726838,4.0,0.10225248734856182
3.98146588178887e-05,0.6203035151998247,277.1118308205545,8.0,0.030144229645009644
8.927868154203834e-06,0.6465633836992458,2601.8469553314535,15.0,0.0051619452066187016
0.00020527288573536967,0.616257948571109,12.395295130092972,4.0,1.8265624817062946
5.634414826879314e-05,0.6301763371160258,9500.265635184576,32.0,0.017283906853336563
9.637580930262507e-06,0.6418117705279279,3008.8270868536447,23.0,0.007857022840710246
2.422661367124613e-05,0.6260904142702,479.2603020661123,10.0,0.005461264137307045
1.0123393003391396e-05,0.6445701359958157,223.0312841728557,3.0,0.0031872646505385844
0.00011460898069043143,0.5741016751353603,388.9652292201496,22.0,0.02846875662557809
5.0621157965801815e-06,0.6483615662296134,4026.8699999368623,13.0,0.004802765884588899
9.024026979644865e-05,0.5915757324200354,340.3658067408076,17.0,0.05999784048386862
5.40303660490962e-05,0.57082595045469,1255.284416373519,42.0,0.01299196713509509
3.317623131310641e-05,0.5924245577800241,10049.661023721417,119.0,0.01082848892274739
8.616644655762001e-05,0.577924220790936,549.5645681639004,30.0,0.034560834458205736
5.96301101677184e-05,0.6048045408132635,196.8031379160413,11.0,0.016064599919350143
0.00019597518555303253,0.32710918659924865,1434.8075750967469,115.0,0.03986298938741472
3.574348383059926e-05,0.6110717465419323,1231.3956964165966,25.0,0.008527772895362782
